,Bathrooms,Bedrooms,Floor Size,Listing Date,Listing Number,Price,Town,Type of Property,Furnished,Parking,Pet Friendly,Pool,No Pets Allowed,Erf Size,Garages,Garden,Secure Parking,Fibre Internet,Flatlet,Satellite Internet,ADSL Internet
1820,1.0,1.0,,08 November 2017,105783718,1799000.0000,"8 York Road, Green Point, Cape Town",Apartment / Flat,,,1.0,1.0,,51 m²,,1.0,,,,,
1821,2.0,4.0,,12 March 2020,108563738,2349000.0000,"Vanguard, Cape Town",House,,,,1.0,,505 m²,3.0,,,,,,
1822,1.0,2.0,58 m²,20 January 2020,108337470,3795000.0000,"201 The Aster, 8 Firdale Avenue, Oranjezicht, Cape Town",Apartment / Flat,,,1.0,1.0,,58 m²,1.0,,,1.0,,,
1823,3.0,3.0,,26 June 2020,108803476,3590000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1824,2.0,2.0,90 m²,07 January 2019,107061477,1555000.0000,"Salt River, Cape Town",House,,,1.0,,,90 m²,,,,,,,
1825,2.0,3.0,88 m²,25 September 2019,107975226,2895000.0000,"The Claremont, Claremont, Cape Town",Apartment / Flat,,,,1.0,,,2.0,,,,,,
1826,2.0,3.0,,23 December 2019,108280935,12750000.0000,"Oranjezicht, Cape Town",House,,2.0,1.0,1.0,,614 m²,2.0,,,,,,
1827,2.5,3.0,244 m²,03 February 2020,108395527,7450000.0000,"Stonehurst Mountain Estate, Cape Town",House,,1.0,,,,461 m²,3.0,1.0,,,,,
1828,2.5,3.0,120 m²,30 August 2019,107889802,2950000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
1829,1.0,1.0,61 m²,06 September 2019,107913686,1295000.0000,"267 Victoria Road, Woodstock, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
1830,1.0,1.0,49 m²,02 October 2019,107998055,1700000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,1.0,1.0,,1.0,1.0,,,,,,,,
1831,1.0,0.5,42 m²,21 January 2020,108346065,1899950.0000,"Woodstock, Cape Town",Apartment / Flat,1.0,,,1.0,1.0,,1.0,,,,,,
1832,7.0,7.0,450 m²,16 April 2019,107414687,19250000.0000,"Llandudno, Cape Town",House,,,,,,1 844 m²,2.0,,,,,,
1833,1.0,2.0,75 m²,06 August 2019,107801158,1495000.0000,"Claremont, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,,
1834,2.5,3.0,140 m²,29 May 2019,107546307,2600000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,,,140 m²,1.0,,2.0,,,,
1835,1.0,1.0,49 m²,13 August 2019,107821459,1349950.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
1836,1.0,2.0,53 m²,14 April 2020,108623205,1270000.0000,"Kenilworth, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
1837,1.0,2.0,,21 May 2020,108676312,540000.0000,"Wynberg, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1838,1.0,1.0,,14 January 2020,108316312,1018130.0000,"Pinelands, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1839,2.0,2.0,190 m²,21 August 2019,107854651,,"Camps Bay, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
1840,3.0,4.0,240 m²,22 February 2018,106066578,13750000.0000,"Camps Bay, Cape Town",House,,,,1.0,,240 m²,2.0,1.0,,,,,
1841,2.0,2.0,77 m²,02 July 2019,107658531,3950000.0000,"16 Hall Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,1.0,,,1.0,,,,,,
1842,3.5,3.0,187 m²,12 June 2019,105614934,4895000.0000,"Stonehurst Mountain Estate, Cape Town",Townhouse,,1.0,1.0,,,332 m²,2.0,1.0,,,,,
1843,1.0,5.0,,24 March 2020,108600839,1800000.0000,"Lotus River, Cape Town",House,,6.0,,,,625 m²,1.0,,,,1.0,,
1844,1.0,1.0,66 m²,03 December 2019,108240389,2200000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1845,1.0,,33 m²,06 March 2020,108538970,2695000.0000,"Mouille Point, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
1846,1.0,2.0,83 m²,07 February 2020,108416743,2300000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,,1.0,1.0,,,,,
1847,2.0,2.0,74 m²,18 October 2018,106861463,3795000.0000,"Vredehoek, Cape Town",Apartment / Flat,,,1.0,,,,2.0,,,,,,
1848,2.0,3.0,,25 February 2020,108485304,3300000.0000,"Claremont Upper, Cape Town",House,,,,,,296 m²,,,,,,,
1849,2.0,2.0,,03 December 2019,108239960,4349000.0000,"Green Point, Cape Town",House,,,,,,268 m²,,,,,,,
1850,1.0,1.0,49 m²,01 November 2019,108120800,2100000.0000,"22 Leeuwen Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,1.0,,,,,,
